region,year,crop,target_yield_centner_per_ha,sown_area,gross_harvest
Агинский Бурятский округ (Забайкальский край),2013,кукуруза на зерно,,,
Агинский Бурятский округ (Забайкальский край),2014,кукуруза на зерно,,,
Агинский Бурятский округ (Забайкальский край),2015,кукуруза на зерно,,,
Агинский Бурятский округ (Забайкальский край),2016,кукуруза на зерно,,,
Агинский Бурятский округ (Забайкальский край),2017,кукуруза на зерно,,,
Агинский Бурятский округ (Забайкальский край),2018,кукуруза на зерно,,,
Агинский Бурятский округ (Забайкальский край),2019,кукуруза на зерно,,,
Агинский Бурятский округ (Забайкальский край),2020,кукуруза на зерно,,,
Агинский Бурятский округ (Забайкальский край),2021,кукуруза на зерно,,,
Агинский Бурятский округ (Забайкальский край),2022,кукуруза на зерно,,,
Агинский Бурятский округ (Забайкальский край),2023,кукуруза на зерно,,,
Агинский Бурятский округ (Забайкальский край),2024,кукуруза на зерно,,,
Агинский Бурятский округ (Забайкальский край),2025,кукуруза на зерно,,,
Агинский Бурятский округ (Забайкальский край),2000,морковь столовая,36.7,,
Агинский Бурятский округ (Забайкальский край),2001,морковь столовая,58.4,,
Агинский Бурятский округ (Забайкальский край),2002,морковь столовая,33.0,,
Агинский Бурятский округ (Забайкальский край),2003,морковь столовая,40.1,,
Агинский Бурятский округ (Забайкальский край),2004,морковь столовая,45.6,,
Агинский Бурятский округ (Забайкальский край),2005,морковь столовая,82.9,,
Агинский Бурятский округ (Забайкальский край),2006,морковь столовая,95.7,,
Агинский Бурятский округ (Забайкальский край),2000,огурцы,44.1,,
Агинский Бурятский округ (Забайкальский край),2001,огурцы,36.9,,
Агинский Бурятский округ (Забайкальский край),2002,огурцы,35.9,,
Агинский Бурятский округ (Забайкальский край),2003,огурцы,34.2,,
Агинский Бурятский округ (Забайкальский край),2004,огурцы,40.6,,
Агинский Бурятский округ (Забайкальский край),2005,огурцы,57.7,,
Агинский Бурятский округ (Забайкальский край),2006,огурцы,56.6,,
Агинский Бурятский округ (Забайкальский край),2000,озимые зерновые культуры,,,
Агинский Бурятский округ (Забайкальский край),2001,озимые зерновые культуры,,,
Агинский Бурятский округ (Забайкальский край),2002,озимые зерновые культуры,,,
Агинский Бурятский округ (Забайкальский край),2003,озимые зерновые культуры,,,
Агинский Бурятский округ (Забайкальский край),2004,озимые зерновые культуры,,,
Агинский Бурятский округ (Забайкальский край),2005,озимые зерновые культуры,,,
Агинский Бурятский округ (Забайкальский край),2006,озимые зерновые культуры,,0.0,
Агинский Бурятский округ (Забайкальский край),2007,озимые зерновые культуры,,,
Агинский Бурятский округ (Забайкальский край),2008,озимые зерновые культуры,,,
Агинский Бурятский округ (Забайкальский край),2009,озимые зерновые культуры,,,
Агинский Бурятский округ (Забайкальский край),2010,озимые зерновые культуры,,,
Агинский Бурятский округ (Забайкальский край),2011,озимые зерновые культуры,,,
Агинский Бурятский округ (Забайкальский край),2012,озимые зерновые культуры,,,
Агинский Бурятский округ (Забайкальский край),2013,озимые зерновые культуры,,,
Агинский Бурятский округ (Забайкальский край),2014,озимые зерновые культуры,,,
Агинский Бурятский округ (Забайкальский край),2015,озимые зерновые культуры,,,
Агинский Бурятский округ (Забайкальский край),2016,озимые зерновые культуры,,,
Агинский Бурятский округ (Забайкальский край),2017,озимые зерновые культуры,,,
Агинский Бурятский округ (Забайкальский край),2018,озимые зерновые культуры,,,
Агинский Бурятский округ (Забайкальский край),2019,озимые зерновые культуры,,,
Агинский Бурятский округ (Забайкальский край),2020,озимые зерновые культуры,,,
Агинский Бурятский округ (Забайкальский край),2021,озимые зерновые культуры,,,
Агинский Бурятский округ (Забайкальский край),2022,озимые зерновые культуры,,,
Агинский Бурятский округ (Забайкальский край),2023,озимые зерновые культуры,,,
Агинский Бурятский округ (Забайкальский край),2024,озимые зерновые культуры,,,
Агинский Бурятский округ (Забайкальский край),2025,озимые зерновые культуры,,,
Агинский Бурятский округ (Забайкальский край),2000,подсолнечник,,,
Агинский Бурятский округ (Забайкальский край),2001,подсолнечник,,,
Агинский Бурятский округ (Забайкальский край),2002,подсолнечник,,,
Агинский Бурятский округ (Забайкальский край),2003,подсолнечник,,,
Агинский Бурятский округ (Забайкальский край),2004,подсолнечник,,,
Агинский Бурятский округ (Забайкальский край),2005,подсолнечник,,,
Агинский Бурятский округ (Забайкальский край),2006,подсолнечник,,,
Агинский Бурятский округ (Забайкальский край),2007,подсолнечник,,,
Агинский Бурятский округ (Забайкальский край),2008,подсолнечник,,,
Агинский Бурятский округ (Забайкальский край),2009,подсолнечник,,,
Агинский Бурятский округ (Забайкальский край),2010,подсолнечник,,,
Агинский Бурятский округ (Забайкальский край),2011,подсолнечник,,,
Агинский Бурятский округ (Забайкальский край),2012,подсолнечник,,,
Агинский Бурятский округ (Забайкальский край),2013,подсолнечник,,,
Агинский Бурятский округ (Забайкальский край),2014,подсолнечник,,,
Агинский Бурятский округ (Забайкальский край),2015,подсолнечник,,,
Агинский Бурятский округ (Забайкальский край),2016,подсолнечник,,,
Агинский Бурятский округ (Забайкальский край),2017,подсолнечник,,,
Агинский Бурятский округ (Забайкальский край),2018,подсолнечник,,,
Агинский Бурятский округ (Забайкальский край),2019,подсолнечник,,,
Агинский Бурятский округ (Забайкальский край),2020,подсолнечник,,,
Агинский Бурятский округ (Забайкальский край),2021,подсолнечник,,,
Агинский Бурятский округ (Забайкальский край),2022,подсолнечник,,,
Агинский Бурятский округ (Забайкальский край),2023,подсолнечник,,,
Агинский Бурятский округ (Забайкальский край),2024,подсолнечник,,,
Агинский Бурятский округ (Забайкальский край),2000,помидоры,50.8,,
Агинский Бурятский округ (Забайкальский край),2001,помидоры,44.5,,
Агинский Бурятский округ (Забайкальский край),2002,помидоры,44.7,,
Агинский Бурятский округ (Забайкальский край),2003,помидоры,39.4,,
Агинский Бурятский округ (Забайкальский край),2004,помидоры,50.0,,
Агинский Бурятский округ (Забайкальский край),2005,помидоры,59.3,,
Агинский Бурятский округ (Забайкальский край),2006,помидоры,65.4,,
Агинский Бурятский округ (Забайкальский край),2000,просо,,,
Агинский Бурятский округ (Забайкальский край),2001,просо,,,
Агинский Бурятский округ (Забайкальский край),2002,просо,,,
Агинский Бурятский округ (Забайкальский край),2003,просо,20.3,0.0,
Агинский Бурятский округ (Забайкальский край),2004,просо,7.6,0.03,
Агинский Бурятский округ (Забайкальский край),2005,просо,0.4,0.05,
Агинский Бурятский округ (Забайкальский край),2006,просо,,,
Агинский Бурятский округ (Забайкальский край),2007,просо,,,
Агинский Бурятский округ (Забайкальский край),2008,просо,,,
Агинский Бурятский округ (Забайкальский край),2009,просо,,,
Агинский Бурятский округ (Забайкальский край),2010,просо,,,
Агинский Бурятский округ (Забайкальский край),2011,просо,,,
Агинский Бурятский округ (Забайкальский край),2012,просо,,,
Агинский Бурятский округ (Забайкальский край),2013,просо,,,
Агинский Бурятский округ (Забайкальский край),2014,просо,,,
Агинский Бурятский округ (Забайкальский край),2015,просо,,,
Агинский Бурятский округ (Забайкальский край),2016,просо,,,
Агинский Бурятский округ (Забайкальский край),2017,просо,,,
Агинский Бурятский округ (Забайкальский край),2018,просо,,,
Агинский Бурятский округ (Забайкальский край),2019,просо,,,
Агинский Бурятский округ (Забайкальский край),2020,просо,,,
Агинский Бурятский округ (Забайкальский край),2021,просо,,,
Агинский Бурятский округ (Забайкальский край),2022,просо,,,
Агинский Бурятский округ (Забайкальский край),2023,просо,,,
Агинский Бурятский округ (Забайкальский край),2024,просо,,,
Агинский Бурятский округ (Забайкальский край),2025,просо,,,
Агинский Бурятский округ (Забайкальский край),2000,пшеница озимая,,,
Агинский Бурятский округ (Забайкальский край),2001,пшеница озимая,,,
Агинский Бурятский округ (Забайкальский край),2002,пшеница озимая,,,
Агинский Бурятский округ (Забайкальский край),2003,пшеница озимая,,,
Агинский Бурятский округ (Забайкальский край),2004,пшеница озимая,,,
Агинский Бурятский округ (Забайкальский край),2005,пшеница озимая,,,
Агинский Бурятский округ (Забайкальский край),2006,пшеница озимая,,0.0,
Агинский Бурятский округ (Забайкальский край),2007,пшеница озимая,,,
Агинский Бурятский округ (Забайкальский край),2008,пшеница озимая,,,
Агинский Бурятский округ (Забайкальский край),2009,пшеница озимая,,,
Агинский Бурятский округ (Забайкальский край),2010,пшеница озимая,,,
Агинский Бурятский округ (Забайкальский край),2011,пшеница озимая,,,
Агинский Бурятский округ (Забайкальский край),2012,пшеница озимая,,,
Агинский Бурятский округ (Забайкальский край),2013,пшеница озимая,,,
Агинский Бурятский округ (Забайкальский край),2014,пшеница озимая,,,
Агинский Бурятский округ (Забайкальский край),2015,пшеница озимая,,,
Агинский Бурятский округ (Забайкальский край),2016,пшеница озимая,,,
Агинский Бурятский округ (Забайкальский край),2017,пшеница озимая,,,
Агинский Бурятский округ (Забайкальский край),2018,пшеница озимая,,,
Агинский Бурятский округ (Забайкальский край),2019,пшеница озимая,,,
Агинский Бурятский округ (Забайкальский край),2020,пшеница озимая,,,
Агинский Бурятский округ (Забайкальский край),2021,пшеница озимая,,,
Агинский Бурятский округ (Забайкальский край),2022,пшеница озимая,,,
Агинский Бурятский округ (Забайкальский край),2023,пшеница озимая,,,
Агинский Бурятский округ (Забайкальский край),2024,пшеница озимая,,,
Агинский Бурятский округ (Забайкальский край),2025,пшеница озимая,,,
Агинский Бурятский округ (Забайкальский край),2000,пшеница яровая,12.6,10.85,
Агинский Бурятский округ (Забайкальский край),2001,пшеница яровая,8.5,12.42,
Агинский Бурятский округ (Забайкальский край),2002,пшеница яровая,13.9,11.42,
Агинский Бурятский округ (Забайкальский край),2003,пшеница яровая,15.1,11.15,
Агинский Бурятский округ (Забайкальский край),2004,пшеница яровая,6.8,11.38,
Агинский Бурятский округ (Забайкальский край),2005,пшеница яровая,10.6,10.95,
Агинский Бурятский округ (Забайкальский край),2006,пшеница яровая,9.8,9.94,
Агинский Бурятский округ (Забайкальский край),2007,пшеница яровая,11.0,9.57,
Агинский Бурятский округ (Забайкальский край),2008,пшеница яровая,,,
Агинский Бурятский округ (Забайкальский край),2009,пшеница яровая,,,
