region,crop,year,target_yield_centner_per_ha,sown_area,gross_harvest
Агинский Бурятский округ (Забайкальский край),кукуруза на  корм,2004,,,
Агинский Бурятский округ (Забайкальский край),кукуруза на  корм,2005,,,
Агинский Бурятский округ (Забайкальский край),кукуруза на  корм,2006,,,
Агинский Бурятский округ (Забайкальский край),кукуруза на  корм,2007,,,
Агинский Бурятский округ (Забайкальский край),кукуруза на  корм,2008,,,
Агинский Бурятский округ (Забайкальский край),кукуруза на  корм,2009,,,
Агинский Бурятский округ (Забайкальский край),кукуруза на  корм,2010,,,
Агинский Бурятский округ (Забайкальский край),кукуруза на  корм,2011,,,
Агинский Бурятский округ (Забайкальский край),кукуруза на  корм,2012,,,
Агинский Бурятский округ (Забайкальский край),кукуруза на  корм,2013,,,
Агинский Бурятский округ (Забайкальский край),кукуруза на  корм,2014,,,
Агинский Бурятский округ (Забайкальский край),кукуруза на  корм,2015,,,
Агинский Бурятский округ (Забайкальский край),кукуруза на  корм,2016,,,
Агинский Бурятский округ (Забайкальский край),кукуруза на  корм,2017,,,
Агинский Бурятский округ (Забайкальский край),кукуруза на  корм,2018,,,
Агинский Бурятский округ (Забайкальский край),кукуруза на  корм,2019,,,
Агинский Бурятский округ (Забайкальский край),кукуруза на  корм,2020,,,
Агинский Бурятский округ (Забайкальский край),кукуруза на  корм,2021,,,
Агинский Бурятский округ (Забайкальский край),кукуруза на  корм,2022,,,
Агинский Бурятский округ (Забайкальский край),кукуруза на  корм,2023,,,
Агинский Бурятский округ (Забайкальский край),кукуруза на  корм,2024,,,
Агинский Бурятский округ (Забайкальский край),кукуруза на  корм,2025,,,
Агинский Бурятский округ (Забайкальский край),кукуруза на зерно,2000,,,
Агинский Бурятский округ (Забайкальский край),кукуруза на зерно,2001,,,
Агинский Бурятский округ (Забайкальский край),кукуруза на зерно,2002,,,
Агинский Бурятский округ (Забайкальский край),кукуруза на зерно,2003,,,
Агинский Бурятский округ (Забайкальский край),кукуруза на зерно,2004,,,
Агинский Бурятский округ (Забайкальский край),кукуруза на зерно,2005,,,
Агинский Бурятский округ (Забайкальский край),кукуруза на зерно,2006,,,
Агинский Бурятский округ (Забайкальский край),кукуруза на зерно,2007,,,
Агинский Бурятский округ (Забайкальский край),кукуруза на зерно,2008,,,
Агинский Бурятский округ (Забайкальский край),кукуруза на зерно,2009,,,
Агинский Бурятский округ (Забайкальский край),кукуруза на зерно,2010,,,
Агинский Бурятский округ (Забайкальский край),кукуруза на зерно,2011,,,
Агинский Бурятский округ (Забайкальский край),кукуруза на зерно,2012,,,
Агинский Бурятский округ (Забайкальский край),кукуруза на зерно,2013,,,
Агинский Бурятский округ (Забайкальский край),кукуруза на зерно,2014,,,
Агинский Бурятский округ (Забайкальский край),кукуруза на зерно,2015,,,
Агинский Бурятский округ (Забайкальский край),кукуруза на зерно,2016,,,
Агинский Бурятский округ (Забайкальский край),кукуруза на зерно,2017,,,
Агинский Бурятский округ (Забайкальский край),кукуруза на зерно,2018,,,
Агинский Бурятский округ (Забайкальский край),кукуруза на зерно,2019,,,
Агинский Бурятский округ (Забайкальский край),кукуруза на зерно,2020,,,
Агинский Бурятский округ (Забайкальский край),кукуруза на зерно,2021,,,
