Region,Year,Crop,Sown_Area_Ha,Gross_Harvest_Ton,Harvested_Area_Ha_Est,Mineral_Fertilizer_Ton_Total,Organic_Fertilizer_Ton_Total,Mineral_Fertilizer_Kg_Per_Ha_Proxy,Organic_Fertilizer_Ton_Per_Ha_Proxy,Has_Mineral_Fertilizer_Data,Has_Organic_Fertilizer_Data,Log_Mineral_Fertilizer_Kg_Total,Log_Organic_Fertilizer_Ton_Total,Log_Mineral_Fertilizer_Kg_Per_Ha_Proxy,Log_Organic_Fertilizer_Ton_Per_Ha_Proxy,Yield_tons_per_hectare
Алтайский край,2008.0,Wheat,360.0,318.3,360.0678733031674,15.9,,44.16666666666666,,1,0,9.674137279312395,,3.8103593516516456,,0.884
Алтайский край,2008.0,Wheat,41298.73,11322.0,10981.5712900097,106.7,,2.5836145566703865,,1,0,11.577785809317154,,1.2763719437573655,,1.031
Алтайский край,2008.0,Maize,8271.0,79350.70000000001,7854.949514947535,186.5,,22.548664006770643,,1,0,12.136191879981927,,3.159069088779782,,10.102
Алтайский край,2008.0,Wheat,51806.0,74855.7,51731.65169315826,481.5,,9.294290236652126,,1,0,13.08466358706136,,2.3315893955729594,,1.447
Алтайский край,2008.0,Maize,130.0,1900.0,130.00342114266164,75.4,,580.0,,1,0,11.230575816507567,,6.364750756851911,,14.615000000000002
Алтайский край,2008.0,Wheat,50569.0,81640.3,50582.58983890954,75.4,,1.491032055211691,,1,0,11.230575816507567,,0.912697104608202,,1.614
Алтайский край,2008.0,Wheat,2977.0,6456.200000000001,2976.579068695251,215.1,,72.25394692643602,,1,0,12.27886296424548,,4.2939321294003,,2.169
Алтайский край,2008.0,Barley,3956.0,5785.3,3957.113543091656,30.0,,7.583417593528817,,1,0,10.308985993422082,,2.149832155115256,,1.462
Алтайский край,2008.0,Maize,2292.0,18763.6,2291.877366556736,176.70000000000002,,77.09424083769633,,1,0,12.082214317601338,,4.3579163132520815,,8.187000000000001
Алтайский край,2008.0,Maize,323.0,2855.3,322.99773755656105,368.6,,1141.1764705882354,,1,0,12.817470037182169,,7.040690905938238,,8.840000000000002
Алтайский край,2008.0,Wheat,119.0,219.0,119.0217391304348,368.6,,3097.4789915966385,,1,0,12.817470037182169,,8.038666622194132,,1.84
Алтайский край,2008.0,Maize,2528.0,33493.9,2528.0323043248545,153.8,,60.83860759493671,,1,0,11.943414837983129,,4.124527887773032,,13.249000000000002
Алтайский край,2008.0,Barley,8341.0,1665.0,3490.566037735849,45.5,,5.454981417096271,,1,0,10.725489582719506,,1.8648521454557745,,0.477
